iter	Logloss
0	0.6771955632
1	0.6634946747
2	0.6507148277
3	0.6390796558
4	0.6289656168
5	0.6199547561
6	0.6124039656
7	0.6051673724
8	0.5990655519
9	0.5935078793
10	0.5883421012
11	0.5838582937
12	0.5801938
13	0.576699872
14	0.5733339901
15	0.5704032076
16	0.5679764503
17	0.565481846
18	0.5635346135
19	0.5614889987
20	0.5598904927
21	0.5582217014
22	0.5567323706
23	0.5552964135
24	0.5541932549
25	0.5532129071
26	0.5521123733
27	0.5512421563
28	0.5503859582
29	0.5495215393
30	0.5487861099
31	0.5481139486
32	0.5475386865
33	0.5469981722
34	0.5464814522
35	0.5459873177
36	0.5455557884
37	0.5451735988
38	0.5447989139
39	0.5444864715
40	0.5441243632
41	0.543816566
42	0.5435402981
43	0.5432830744
44	0.5430552903
45	0.5428213543
46	0.5425910062
47	0.5424123603
48	0.5421970498
49	0.5420293185
50	0.5418680953
51	0.5417085184
52	0.5415040855
53	0.5413520762
54	0.5412081359
55	0.5410619705
56	0.5409141239
57	0.5408459615
58	0.5407237778
59	0.5406110554
60	0.5404697985
61	0.5403563127
62	0.5402006551
63	0.5400962779
64	0.5399811825
65	0.5398879102
66	0.5397902525
67	0.5397171429
68	0.5396123892
69	0.5394988126
70	0.5394355593
71	0.5393111741
72	0.5392244434
73	0.5391299969
74	0.5390560247
75	0.5389563764
76	0.5388705436
77	0.5388176409
78	0.5387406972
79	0.5386638889
80	0.538619346
81	0.5385531222
82	0.538458804
83	0.5383616432
84	0.5382940847
85	0.5382734285
86	0.5382165511
87	0.5381520832
88	0.5380751222
89	0.5380123656
90	0.5379679007
91	0.5379411522
92	0.5378672733
93	0.5378004941
94	0.5377400095
95	0.5376866234
96	0.5376350967
97	0.5375381571
98	0.5374904525
99	0.5374418732
100	0.5373910474
101	0.5373359012
102	0.5372844896
103	0.5372320299
104	0.5371852793
105	0.5371357701
106	0.5370840756
107	0.5370388228
108	0.5369749525
109	0.5369146253
110	0.5368807112
111	0.536836899
112	0.5367917067
113	0.5367508121
114	0.5367073799
115	0.5366492364
116	0.5366134651
117	0.5365732017
118	0.5365194971
119	0.536482511
120	0.5364492759
121	0.5364102789
122	0.5363928451
123	0.5363678255
124	0.5363220172
125	0.5362988017
126	0.5362384225
127	0.5362008182
128	0.5361701717
129	0.5361304623
130	0.5360760073
131	0.5360381188
132	0.5359810892
133	0.5359584155
134	0.5359135781
135	0.5358851721
136	0.5358575096
137	0.5358251064
138	0.5357778184
139	0.5357206303
140	0.5356788415
141	0.5356498518
142	0.5356104171
143	0.5355852514
144	0.535561659
145	0.5355127652
146	0.5354877203
147	0.5354475273
148	0.5354242643
149	0.535391617
150	0.5353313325
151	0.5353133299
152	0.5352938629
153	0.5352305488
154	0.535175475
155	0.5351445638
156	0.5351305551
157	0.5350877204
158	0.5350482781
159	0.5350423587
160	0.5349807773
161	0.5349638423
162	0.5349262257
163	0.5349113449
164	0.5348795913
165	0.5348380514
166	0.5347999561
167	0.5347221394
168	0.5346912518
169	0.5346531404
170	0.5345892227
171	0.5345601236
172	0.5345250493
173	0.5344876814
174	0.5344723575
175	0.5344300079
176	0.5344039487
177	0.5343620564
178	0.5343393249
179	0.5342903678
180	0.5342685408
181	0.5342321071
182	0.5341842429
183	0.5341114298
184	0.5340875965
185	0.5340473378
186	0.5340117684
187	0.5339851123
188	0.5339606642
189	0.5339390565
190	0.5339144394
191	0.5338861804
192	0.5338575061
193	0.533841915
194	0.5338033895
195	0.5337790934
196	0.5337571625
197	0.5337363771
198	0.5336987789
199	0.5336670187
200	0.5336226234
201	0.5335694373
202	0.5335499523
203	0.5335018142
204	0.533459465
205	0.5334048973
206	0.533379821
207	0.5333361553
208	0.5333135916
209	0.5332864435
210	0.5332440748
211	0.5332135859
212	0.5331676893
213	0.5331247198
214	0.5330929221
215	0.5330433274
216	0.5329977398
217	0.5329723061
218	0.5329401216
219	0.5328971694
220	0.5328663051
221	0.5328366533
222	0.5327920422
223	0.5327548154
224	0.5327134588
225	0.5326823264
226	0.5326473946
227	0.5325982446
228	0.5325537383
229	0.5325181135
230	0.5324874938
231	0.5324554426
232	0.5324327141
233	0.5323897719
234	0.5323566773
235	0.5322994725
236	0.5322687251
237	0.5322322792
238	0.5321954254
239	0.5321479632
240	0.532105449
241	0.5320774805
242	0.5320374133
243	0.531992533
244	0.5319467594
245	0.5319119061
246	0.531884006
247	0.5318528876
248	0.5318140412
249	0.5317696358
250	0.5317342985
251	0.5316965904
252	0.5316461871
253	0.5315904818
254	0.531545469
255	0.5315070066
256	0.5314787194
257	0.5314479481
258	0.5314085258
259	0.5313800128
260	0.5313611694
261	0.5313382088
262	0.5313000024
263	0.5312542245
264	0.5312069357
265	0.5311626617
266	0.5311291503
267	0.5310942692
268	0.5310551509
269	0.530990944
270	0.5309343921
271	0.5308842348
272	0.5308559815
273	0.5308093371
274	0.5307750048
275	0.5307258234
276	0.5306987196
277	0.5306612019
278	0.5306219482
279	0.5305906057
280	0.5305417728
281	0.5305009306
282	0.5304401811
283	0.5304103606
284	0.5303777605
285	0.5303469194
286	0.5303149875
287	0.5302956576
288	0.5302635963
289	0.5302317098
290	0.5301938336
291	0.5301670415
292	0.5301379107
293	0.5301023341
294	0.5300671885
295	0.5300255493
296	0.5299689727
297	0.5299225859
298	0.5298755625
299	0.5298138393
300	0.5297690685
301	0.5297284309
302	0.5296849094
303	0.5296318825
304	0.5295886198
305	0.5295572539
306	0.5295102242
307	0.5294608558
308	0.529429121
309	0.5293925019
310	0.5293486699
311	0.5293135746
312	0.5292623937
313	0.529232803
314	0.5291965968
315	0.5291758094
316	0.5291476151
317	0.5291089669
318	0.5290789385
319	0.5290539589
320	0.5290156292
321	0.5289910044
322	0.5289643095
323	0.5289038261
324	0.5288824524
325	0.5288623432
326	0.5288314602
327	0.5287975742
328	0.5287688382
329	0.5287247049
330	0.5286907012
331	0.5286444749
332	0.5286097603
333	0.5285783978
334	0.528525401
335	0.5284955761
336	0.5284531671
337	0.5284205317
338	0.5284059706
339	0.5283678122
340	0.528336825
341	0.5283065505
342	0.5282787471
343	0.5282464585
344	0.5282141707
345	0.5281922478
346	0.5281609147
347	0.5281107758
348	0.5280934705
349	0.5280660981
350	0.5280396447
351	0.5280045708
352	0.5279734296
353	0.5279177925
354	0.527882618
355	0.5278495583
356	0.5278241948
357	0.5278001079
358	0.5277785434
359	0.5277400764
360	0.5277098814
361	0.5276686446
362	0.5276306046
363	0.5275795633
364	0.527562376
365	0.5275431378
366	0.5275064669
367	0.5274621458
368	0.5274280191
369	0.5274105958
370	0.5273675694
371	0.5273330166
372	0.5272961077
373	0.5272733095
374	0.5272366717
375	0.5272011738
376	0.5271768869
377	0.5271527266
378	0.5271303891
379	0.5270968321
380	0.5270519851
381	0.5270231652
382	0.52700141
383	0.5269788909
384	0.5269435183
385	0.5269270532
386	0.5268972341
387	0.5268657047
388	0.5268331617
389	0.5268075723
390	0.5267753752
391	0.5267194711
392	0.5266909137
393	0.526629273
394	0.5265945137
395	0.5265700808
396	0.526542375
397	0.526523144
398	0.5264830915
399	0.5264467372
400	0.526409143
401	0.5263671961
402	0.5263291714
403	0.5262987973
404	0.5262749901
405	0.5262538145
406	0.5262329716
407	0.5261990207
408	0.5261688406
409	0.5261380035
410	0.5261141847
411	0.5260791784
412	0.5260467795
413	0.5260151349
414	0.5259633015
415	0.5259303919
416	0.5258827679
417	0.5258475388
418	0.5258114104
419	0.5257742266
420	0.525741953
421	0.5257115746
422	0.5256824756
423	0.5256489211
424	0.5256233014
425	0.5255874574
426	0.5255635448
427	0.5255286928
428	0.5255148569
429	0.5254939567
430	0.5254673979
431	0.5254403674
432	0.5254140909
433	0.5253909633
434	0.525349986
435	0.5253293699
436	0.5253115381
437	0.5252822033
438	0.5252608273
439	0.5252262353
440	0.5252071232
441	0.5251774978
442	0.5251608983
443	0.5251401311
444	0.5251099568
445	0.5250818288
446	0.5250489974
447	0.5250257836
448	0.5250083594
449	0.5249739468
450	0.5249575348
451	0.5249398901
452	0.5249212103
453	0.5248799029
454	0.5248543107
455	0.5248129862
456	0.5247662655
457	0.5247205404
458	0.5246721952
459	0.5246635834
