iter	Passed	Remaining
0	15	15300
1	25	12787
2	36	12014
3	48	12016
4	60	11961
5	70	11607
6	82	11650
7	92	11415
8	103	11375
9	115	11426
10	126	11399
11	136	11213
12	147	11185
13	161	11361
14	172	11344
15	182	11197
16	193	11194
17	204	11174
18	216	11193
19	227	11142
20	241	11253
21	253	11285
22	265	11269
23	275	11221
24	288	11252
25	300	11256
26	319	11519
27	344	11962
28	368	12340
29	385	12475
30	401	12562
31	428	12958
32	450	13194
33	467	13291
34	481	13278
35	494	13239
36	507	13220
37	521	13201
38	532	13128
39	547	13128
40	559	13096
41	571	13042
42	583	12976
43	594	12913
44	605	12851
45	617	12806
46	629	12755
47	640	12699
48	653	12674
49	663	12608
50	675	12576
51	688	12543
52	699	12491
53	710	12449
54	722	12421
55	734	12386
56	748	12383
57	760	12346
58	771	12303
59	782	12264
60	794	12223
61	805	12193
62	818	12179
63	831	12158
64	844	12150
65	857	12141
66	870	12118
67	883	12112
68	895	12085
69	908	12065
70	920	12050
71	931	12010
72	943	11976
73	956	11963
74	967	11934
75	978	11901
76	990	11873
77	1002	11849
78	1014	11831
79	1031	11860
80	1046	11872
81	1061	11880
82	1072	11851
83	1088	11874
84	1099	11839
85	1110	11805
86	1123	11793
87	1130	11717
88	1142	11692
89	1163	11761
90	1178	11774
91	1195	11798
92	1211	11816
93	1228	11837
94	1241	11823
95	1256	11830
96	1275	11877
97	1294	11913
98	1311	11936
99	1327	11948
100	1355	12063
101	1378	12133
102	1394	12142
103	1409	12147
104	1426	12162
105	1443	12172
106	1456	12157
107	1469	12137
108	1480	12104
109	1491	12071
110	1504	12049
111	1515	12019
112	1526	11983
113	1538	11954
114	1550	11931
115	1561	11898
116	1573	11876
117	1585	11852
118	1596	11821
119	1607	11789
120	1620	11771
121	1631	11742
122	1642	11712
123	1655	11695
124	1667	11675
125	1678	11644
126	1690	11621
127	1702	11595
128	1715	11583
129	1727	11558
130	1738	11534
131	1752	11523
132	1764	11503
133	1776	11481
134	1789	11468
135	1802	11453
